organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,"tx_curr (n, dsd)","tx_curr (n, dsd, age_gt10sex)","tx_curr (n, dsd, age_lt10)","tx_new (n, dsd)","pmtct_stat (d, dsd, age) v2","pmtct_stat (n, dsd)","pmtct_stat (n, dsd, age)","pmtct_stat (n, dsd, ageknownnewresult)","pmtct_art (n, dsd, newexistingart)","pmtct_arv (n, dsd narrative)","pmtct_eid (n, dsd, agehivstatus)",HTC
pHbdtisHupE,Ile-Oluji General Hospital,p.ng.IHVN.5902,,,,,,,,,,,,,0
DmNUbQb4PRU,Ipe Akoko General Hospital,p.ng.IHVN.5875,,,,,,,,,,,,,0
ZDWMLZObK4j,Ipele Comprehensive Health Center,p.ng.IHVN.5920,,,,,,,,,,,,,0
kUHqhJqoDQA,Irun Akoko General Hospital,p.ng.IHVN.5874,,,,,,,,,,,,,0
jnZPTIbnS5X,Isaipen Basic Health Center,p.ng.IHVN.5921,,,,,,,,,,,,,0
q3vJKoQYYzB,Isakakuni Comprehensive Health Centre,,,,,,,,,,,,,,0
rxCWUmw7j9l,Isolo Comprehensive Health Center,p.ng.IHVN.5884,,,,,,,,,,,,,0
CA2mhbNcqIm,Isolo Health Centre,,,,,,,,,,,,,,0
InTph827q3t,Isua Oke Basic Health Centre,,,,,,,,,,,,,,0
T0nxeSvOkV7,Isua Oke Basic Health Centre,,,,,,,,,,,,,,0
zhu21WthI6C,Iwaro-Oka General Hospital - Akoko,p.ng.IHVN.5877,,84,84,0,17,149,149,149,149,1,,18,2705
UgY5Jr9XpDp,Jubilee Health Centre,,,,,,,,,,,,,,0
QUYIJA1ZS8h,Maria Mater Misericordiae Catholic Hospital - Oke-Idera,p.ng.CCFN.5914,,,,,,35,35,35,35,0,,0,539
Xubfc1xadN5,Moferere-Oja Comprehensive Health Center,p.ng.IHVN.5912,,,,,,,,,,,,,0
GizRQMmx10i,Mother And Child Hospital - Akure,p.ng.IHVN.5886,,,,,,,,,,,,,0
l0oK5kCcifq,Mother and Child Hospital - Ondo,p.ng.IHVN.5915,,,,,,,,,,,,,0
zjryn1u6GgV,New Jerusalem Basic Health Center,p.ng.IHVN.5897,,,,,,,,,,,,,0
wuh106bjAdL,Oba-Ile Comprehensive Health Center,p.ng.IHVN.5881,,,,,,94,94,94,94,0,,0,0
K7fd2sR9lsW,Obanoyen Hospital,,,,,,,,,,,,,,0
Z9lldlqwYSa,Ode-Irele Comprehensive Health Center,p.ng.IHVN.5903,,,,,,,,,,,,,0
VUAwCLghaZs,Oke Aro Basic Health Center,p.ng.IHVN.5882,,,,,,,,,,,,,0
zEnMpw8NQ25,Oke-Igbo Comprehensive Health Center,p.ng.IHVN.5901,,,,,,,,,,,,,0
gwn2fkUwGJU,Okela Health Centre,,,,,,,,,,,,,,0
Sur3YNxO0ic,Okitipupa Model Health Centre,,,,,,,,,,,,,,0
ZfHqkRkgtyn,Okitipupa State Specialist Hospital,p.ng.IHVN.5910,,,,,,,,,,,,,0
FbzQ9s8g8jo,Opasorun Chest Clinic,,,,,,,,,,,,,,0
dtIqvTxFYA9,Opuba Basic Health Center,p.ng.IHVN.5890,,,,,,,,,,,,,0
MhZDIc37RUO,Ore Basic Health Center,p.ng.IHVN.5906,,,,,,,,,,,,,0
SGlwI0BB3NM,Ore General Hospital,p.ng.IHVN.5907,,730,712,18,28,278,278,278,278,12,,19,1456
uqUGRphflWb,Owo General Hospital,p.ng.IHVN.5922,,,,,,,,,,,,,0
fXJNYdBG6oM,Sabo Ibaka Basic Health Center,p.ng.IHVN.5876,,,,,,,,,,,,,0
G4Se5uWY7tn,Sckye Hospital Limited - Akure,p.ng.IHVN.5887,,,,,,,,,,,,,0
xcaGbS61j0T,St Mary's Primary Health and Maternity - Oka Akoko,p.ng.CCFN.5878,,,,,,,,,,,,,0
GsMlnR6XQ5k,St. Catherine's Hospital - Iwaro-Oka,p.ng.CCFN.5879,,533,519,14,18,85,85,85,85,11,,6,1974
l7pPpxL9oXr,St. Louis Hospital - Owo,p.ng.CCFN.5924,,,,,,23,23,23,23,0,,0,612
h2r9wlaKJ49,St. Theresa's Catholic Health Center - Odo-Irele,p.ng.CCFN.5905,,,,,,34,34,34,34,0,,0,189
yfLNltOE3ES,State Specialist Hospital - Akure,p.ng.IHVN.5885,,1944,1905,39,65,706,706,706,706,34,,17,3710
PVJ1iBCOkrp,State Specialist Hospital - Ikare,p.ng.IHVN.5873,,458,434,24,52,282,282,282,282,6,,15,1912
JKUabrYA2oL,State Specialist Hospital - Ondo,p.ng.IHVN.5913,,1164,1108,56,62,514,514,514,514,19,,7,1627
UDbqOt0JrR5,Ugbe Comprehensive Health Centre,,,,,,,,,,,,,,0
NpoS7CmQddM,Ukpe Basic Health Center,p.ng.IHVN.5895,,,,,,,,,,,,,0
buQehzTYRV7,Ute Basic Health Center,p.ng.IHVN.5918,,,,,,,,,,,,,0
s5Glccgia8G,Zion pepe CHC,,,,,,,,,,,,,,0
L6wmfP2H97g,2 Division Hospital Ibadan,p.ng.pepfar.6136,,,,,,,,,,,,,0
dBiaTCqUdI3,6 BED Igangan Primary Health Center,p.ng.APIN.6031,,,,,,,,,,,,,0
BfS36vSrSDk,6 BED Tapa Primary Health Center,p.ng.APIN.6033,,,,,,,,,,,,,0
VFHmekMPH7g,Aafin Primary Health Center,p.ng.APIN.5964,,,,,,63,63,63,63,0,,0,370
K6oAJAHYX6N,Aba Emu Primary Health Center,p.ng.APIN.6101,,,,,,473,473,473,473,2,,0,1793
POQZq9yYHfm,Abogunde Baaki Health Center,p.ng.APIN.6075,,,,,,45,45,45,45,1,,1,643
qquqGKyVseo,Adabo Primary Health Center,p.ng.APIN.6126,,,,,,,,,,,,,0
gp5xo74SqKO,Adaramagbo Olomi Primary Health Center,p.ng.APIN.6096,,,,,,439,439,439,439,3,,0,2226
dZoqWgPkpXi,Adebayo Alata Primary Health Center,p.ng.APIN.6084,,,,,,,,,,,,,0
MamvPxaqiTG,Adeoyo Maternity Hospital,p.ng.APIN.6017,,7510,7242,268,154,1361,754,754,754,11,,57,2590
Xoshbh1bKhK,Adifase-Apata Primary Health Center,p.ng.APIN.6012,,,,,,260,260,260,260,3,,0,2168
n3AczRXojfF,Ado Awaye Primary Health Center,p.ng.AHNi.6042,,,,,,81,81,81,81,1,,0,81
qOFvUyNQCHC,Agade Primary Health Center,p.ng.AHNi.6038,,,,,,143,143,143,143,0,,0,143
Y7y7ALiafAi,Agbagi Primary Health Center,p.ng.AHNi.6062,,,,,,51,51,51,51,0,,0,51
Ysu6t7ZAvE1,Agbongbon Health Center,p.ng.APIN.6004,,,,,,263,263,263,263,2,,0,1611
axW6IWUePhH,Agbonle Primary Health Center,p.ng.AHNi.6122,,,,,,114,114,114,114,0,,0,114
AOGLUzXpFFQ,Agbowo Apata Primary Health Center,p.ng.APIN.5982,,,,,,,,,,,,,0
GcyM0uoaG4r,Ago Amadu Primary Health Center,p.ng.AHNi.6118,,,,,,,,,,,,,0
t1MU2cswLjx,Ago-Are Model Primary Health Center,p.ng.AHNi.5970,,,,,,41,41,41,41,0,,0,41
axwoQCMRKH4,Ago-Are Primary Health Center,p.ng.AHNi.5969,,,,,,34,34,34,34,0,,0,34
fD14mGxPP3L,Ajaawa Primary Health Center,p.ng.AHNi.6087,,,,,,53,53,53,53,0,,0,53
acnMKu4O3I8,Ajibode Primary Health Center,p.ng.APIN.5959,,,,,,,,,,,,,0
i6PoUNpU6Xm,Ajofebo Primary Health Center,,,,,,,,,,,,,,0
b9kAmabl6oN,Akeetan Baale Primary Health Center,p.ng.APIN.6115,,,,,,,,,,,,,0
du2NydHQODD,Alafara Oje Primary Health Center,p.ng.APIN.5992,,,,,,401,401,401,401,4,,0,3122
KBF1GTe5NSO,Alafia Hospital - Ibadan,p.ng.APIN.6000,,,,,,,,,,,,,0
z2q7ZIRuPxb,Alakia Primary Health Center,p.ng.APIN.5975,,,,,,,,,,,,,0
gM1zDIOM7h4,Alapafon Primary Health Center,p.ng.APIN.6100,,,,,,,,,,,,,0
bXZx7WXtHkk,Alegongo Primary Health Center,p.ng.APIN.6070,,,,,,,,,,,,,0
ZTgqPka0AYA,Alhaja Sarat Adesina Health Center - Ogbere Baba,p.ng.APIN.6104,,,,,,,,,,,,,0
JqBFt4wajbq,Anko Primary Health Center - Eruwa,p.ng.APIN.6025,,,,,,,,,,,,,0
Bj5u1Ii23ru,Apata Maternal and Child Health Clinic,,,,,,,,,,,,,,0
MsWKOj2LI1c,Aperin Oniyere Primary Health Center,p.ng.APIN.6005,,,,,,,,,,,,,0
uU3mfYyerBo,Apete Primary Health Center,p.ng.APIN.6034,,,,,,113,113,113,113,0,,0,1591
mpqVyKSKrHu,Arowomole Primary Health Center,p.ng.APIN.6083,,,,,,,,,,,,,0
hznO7VVTEY1,Atolu Primary Health Center,p.ng.APIN.6105,,,,,,,,,,,,,0
hOgRLZp8x5s,Awe Maternity Center,p.ng.APIN.5952,,,,,,,,,,,,,0
ymkPngayI7r,Awotunde Olosunde Primary Health Center,,,,,,,369,369,369,369,2,,0,1650
SGAWXS5CP1d,Ayekale Primary Health Center,p.ng.APIN.6129,,,,,,,,,,,,,0
eOBPMudNsvP,Ayete Primary Health Center,p.ng.APIN.6032,,,,,,,,,,,,,0
In6vgIxH9xS,Ayeye Maternity Health Center,p.ng.APIN.5994,,,,,,,,,,,,,0
OYVA8Ooxh0G,Baabo Primary Health Center,p.ng.APIN.6128,,,,,,,,,,,,,0
AOEKYBiYO4t,Babaode Primary Health Center,p.ng.APIN.6049,,,,,,,,,,,,,0
x6uBaUpHFXY,Baptist Medical Center - Saki,p.ng.APIN.6130,,847,802,45,22,322,322,322,322,7,,12,1861
ZOFawdldLxn,Baptist Medical Centre - Ilefo,p.ng.AHNi.6067,,,,,,41,41,41,41,2,,0,41
Mj8BUz3Pmdp,Baptist Medical Centre - Oyo,,,,,,,,,,,,,,0
IDTbUHFAKfU,Bashorun Oluwonla Primary Health Center,p.ng.APIN.5980,,,,,,144,144,144,144,1,,0,3314
plbA5RGX0lP,Bayaoje Primary Health Center,p.ng.APIN.6135,,,,,,,,,,,,,0
npsYuLNW7pO,Bodija Olive Primary Health Center,p.ng.APIN.5983,,,,,,,,,,,,,0
KQkFrGHr2F3,Boluwaji Primary Health Center,p.ng.APIN.6006,,,,,,137,137,137,137,0,,0,1553
RikNQmXQLvM,Bonni Primary Health Center,p.ng.AHNi.6107,,,,,,24,24,24,24,1,,0,24
I1bxwWNcwCW,Christiana Olawunmi Foundation (Ogbomoso North),,,,,,,,,,,,,,0
R6CaJuewroa,Christiana Olawunmi Foundation (Ogbomoso South),,,,,,,,,,,,,,0
i1y3DltEYd5,Christiana Olawunmi Foundation (Ogo Oluwa),,,,,,,,,,,,,,0
gjxVs0OJzUp,Christiana Olawunmi Foundation (Surulere),,,,,,,,,,,,,,0
PI26NbjCCVn,Dogo-LEEMP Primary Health Center,,,,,,,28,28,28,28,0,,0,28
UjVlFadPaBN,Egbeda Primary Health Center Center,p.ng.APIN.5974,,,,,,,,,,,,,0
ZYX4EObhvxY,Ejioku Primary Health Center - Lagelu,p.ng.APIN.6073,,,,,,334,334,334,334,4,,0,1722
ymmkhJyzzCM,Elekuro Primary Health Center,p.ng.APIN.6002,,,,,,,,,,,,,0
IQO2vzhqh45,Elewiodo Primary Health Center,p.ng.APIN.6068,,,,,,,,,,,,,0
tA77YS9ZkEK,Eleyele Primary Health Center,p.ng.APIN.5998,,,,,,,,,,,,,0
ro2zytKbXtQ,Eruwa Primary Health Center,p.ng.APIN.6026,,,,,,,,,,,,,0
wGa5ygmsegU,Face Out Malaria and AIDS Foundation (FOMA),,,,,,,,,,,,,,0
XTVUI9SkNTF,Faramora Primary Health Center,p.ng.AHNi.6044,,,,,,26,26,26,26,1,,1,26
zCjM0dEyMtg,Fawole Idi Obi Primary Health Center,p.ng.APIN.6103,,,,,,,,,,,,,0
Ybg7lrlav8z,Felele Primary Health Center,p.ng.APIN.6007,,,,,,,,,,,,,0
aIJ7HQQ5sKU,Fiditi General Hospital,p.ng.APIN.5954,,,,,,,,,,,,,0
M8JbmxwMObn,Fiditi Primary Health Center,p.ng.APIN.5951,,,,,,,,,,,,,0
jkN5Ip2QGV0,Foko Primary Health Center,p.ng.APIN.6010,,,,,,,,,,,,,0
nexePdGcEqe,Gambari Primary Health Center,p.ng.APIN.6132,,,,,,,,,,,,,0
ilW4gbPuJGQ,Gbaremu Primary Health Center,p.ng.APIN.6102,,,,,,,,,,,,,0
YgDUJxPEAqX,Gbonje Primary Health Center,p.ng.AHNi.6063,,,,,,113,113,113,113,2,,0,113
lk3BDwn0snv,Idere Primary Health Center,p.ng.APIN.6020,,,,,,,,,,,,,0
ZLWmTQgOawO,Idi Ayunre Primary Health Center,p.ng.APIN.6098,,,,,,,,,,,,,0
lUK0PY9z0dH,Idi Ogungun Primary Health Center,p.ng.APIN.5979,,,,,,240,240,240,240,3,,0,3553
kIvOJ3cAncw,Ido Primary Health Center,p.ng.APIN.6035,,,,,,,,,,,,,0
gyexgithuKK,Ifelodun Health Center,p.ng.APIN.6053,,,,,,,,,,,,,0
PvscPsLoJ5Z,Ifelodun Primary Health Center,p.ng.APIN.6094,,,,,,,,,,,,,0
csjgQDX70UY,Igana General Hospital,p.ng.AHNi.6061,,,,,,34,34,34,34,0,,0,34
LrhTC0vQwl8,Igana Primary Health Center,p.ng.AHNi.6060,,,,,,69,69,69,69,0,,0,69
ty9jMW3us5b,Igbeti General Hospital,p.ng.AHNi.6092,,,,,13,58,58,58,58,3,,5,57
NKj88oJ9ACq,Igbo-Ora General Hospital,p.ng.APIN.6023,,,,,,559,559,559,559,3,,0,1912
HFjceuxCH8C,Igbo-Ora Primary Health Center,p.ng.APIN.6021,,,,,,,,,,,,,0
oXanQ9NfzcJ,Igboho General Hospital,p.ng.AHNi.6110,,,,,,31,31,31,31,0,,0,31
NnaMUK7lUAl,Igbole Primary Health Center,,,,,,,,,,,,,,0
s1oMfY5I5AY,Igbole Primary Health Center,p.ng.APIN.6089,,,,,,,,,,,,,0
YhVTq578D05,Igbope Primary Health Center,p.ng.AHNi.6108,,,,,,,,,,,,,0
ukGcRlpF3TM,Ijaye Primary Health Center,p.ng.APIN.5960,,,,,,,,,,,,,0
howtD9nQh8e,Ijeru Primary Health Center,p.ng.APIN.6085,,,,,,,,,,,,,0
vjXeF7I4U0G,Ijio Primary Health Center,p.ng.AHNi.6059,,,,,,145,145,145,145,1,,0,145
Z3TYZfI2lwQ,Ijo Primary Health Center,p.ng.AHNi.6065,,,,,,15,15,15,15,1,,0,15
hFsK8RbXpkr,Ikereku Primary Health Center,p.ng.APIN.5956,,,,,,,,,,,,,0
pEPN0Z3bAp1,Ikose Primary Health Center,p.ng.APIN.6077,,,,,,,,,,,,,0
jN3f776qJBx,Ikoyi-Ile Primary Health Center,p.ng.AHNi.6111,,,,,,34,34,34,34,0,,2,34
jE7BqtQEyWZ,Ilogbo Primary Health Center,p.ng.APIN.6086,,,,,,,,,,,,,0
Klu5oTZCxfx,Ilora General Hospital,p.ng.APIN.5953,,,,,,,,,,,,,0
nf8iMC6uQjS,Ilora Primary Health Center,p.ng.APIN.5950,,,,,,429,429,429,429,2,,0,1279
DM04RxVo8Hb,Iluju Primary Health Center,p.ng.AHNi.6112,,,,,,,,,,,,,0
Jk1zM5AWuU8,Initiative for Integrated Community Welfare in Nigeria (Akinyele),,,,,,,,,,,,,,0
ex0pVlRWHZN,Initiative for Integrated Community Welfare in Nigeria (Ibadan North),,,,,,,,,,,,,,0
WUSp9C4wo3O,Initiative for Integrated Community Welfare in Nigeria (Ibarapa East),,,,,,,,,,,,,,0
uvGJGWY57wX,Ipapo Primary Health Center,p.ng.APIN.6050,,,,,,94,94,94,94,0,,0,662
okth7hjdnDl,Irawo Ile Primary Health Center,p.ng.AHNi.5971,,,,,,68,68,68,68,3,,0,68
tjxeVKvJDy0,Irepodun Primary Health Center,p.ng.APIN.6095,,,,,,,,,,,,,0
O6s6kaLSgEx,Iresa Adu Primary Health Center,p.ng.APIN.6133,,,,,,299,299,299,299,1,,4,1071
CslRBTJMh15,Iroko Primary Health Center,p.ng.APIN.5961,,,,,,,,,,,,,0
LIotmIGQTDZ,Isale Oba Primary Health Center,p.ng.APIN.6024,,,,,,,,,,,,,0
HUC75tHkfQZ,Isale Taba Model Primary Health Center,p.ng.APIN.6125,,,,,,,,,,,,,0
oPNBYFlO4a7,Isalu Primary Health Center,p.ng.AHNi.6045,,,,,,88,88,88,88,0,,1,88
kgPjVzCl0lb,Iseke Maternity Center,p.ng.APIN.6116,,,,,,231,231,231,231,3,,0,2142
o9zWHFjhquv,Iseyin General Hospital,p.ng.AHNi.6047,,,,,36,106,106,106,106,4,,0,102
OE7d7XOHh49,Isia Primary Health Center,p.ng.AHNi.6066,,,,,,,,,,,,,0
GCumwQQdGiR,Iware Primary Health Center,,,,,,,,,,,,,,0
Ncfs0LQTaCq,Iwerele General Hospital,p.ng.AHNi.6058,,,,,,,,,,,,,0
nZkZVzH2Gc2,Iwerele Primary Health Center,p.ng.AHNi.6057,,,,,,,,,,,,,0
WSxGzRDVpuS,Iwo Road Primary Health Center,p.ng.APIN.5988,,,,,,424,424,424,424,0,,0,4325
Nqd4Rx4KCmf,Iyana Church Primary Health Center,p.ng.APIN.6069,,,,,,,,,,,,,0
rI6TKRouqmn,Jaja Clinic - University of Ibadan,p.ng.APIN.5984,,,,,,,,,,,,,0
MFt0YessdAa,Jericho Chest Hospital,p.ng.APIN.6013,,,,,,,,,,,,,0
jdkFcSnNW8e,Jericho Nursing Home,p.ng.APIN.6018,,,,,,,,,,,,,0
DpCYi3E6I4c,Jericho Specialist Hospital,p.ng.APIN.6014,,,,,,458,458,458,458,4,,0,869
ynsyxJ0lZB8,Katangua Primary Health Center,p.ng.APIN.6079,,,,,,,,,,,,,0
l7D0Lku4ECe,Kisi General Hospital,p.ng.AHNi.6041,,,,,24,33,33,33,33,1,,0,33
kAgNufT5zDD,Kolobo Primary Health Center,p.ng.APIN.6117,,,,,,,,,,,,,0
rnbKG3j85N2,Komu Primary Health Center,p.ng.APIN.6054,,,,,,,,,,,,,0
wv9IjytnIUT,Koseunti Primary Health Center,,,,,,,,,,,,,,0
TdGYamQIcL3,Koseunti Primary Health Center,p.ng.APIN.5999,,,,,,,,,,,,,0
MrDTe8quPHV,Koso Primary Health Center- Irepo,p.ng.AHNi.6040,,,,,,38,38,38,38,1,,2,38
nF4cgzRSodW,Koso Primary Health Center- Iseyin,p.ng.AHNi.6046,,,,,,57,57,57,57,1,,0,57
Q2aWuVlhQbo,Ladoke Akintola University of Technology (LAUTECH) Teaching Hospital,p.ng.APIN.6078,,,,,,,,,,,,,0
W3HqIGEAech,Lagelu-Agugu Primary Health Center,p.ng.APIN.5993,,,,,,,,,,,,,0
yHeCFbu8BrK,Lagun General Hospital,p.ng.APIN.6074,,,,,,,,,,,,,0
KquyoHOcyUc,Lalupon Primary Health Center,p.ng.APIN.6072,,,,,,,,,,,,,0
HWzZzQcwRsH,Lanlate General Hospital,p.ng.APIN.6027,,,,,,,,,,,,,0
hmRpH1bVZee,Living Word Mission (Afijio),,,,,,,,,,,,,,0
HtqME19Qy9y,Living Word Mission (Egbeda),,,,,,,,,,,,,,0
uMCzBuxBKzd,Living Word Mission (Ibadan South-West),,,,,,,,,,,,,,0
UE31Xr4SoP5,Living Word Mission (Ido),,,,,,,,,,,,,,0
X3vkz3uVNVC,Mapo Primary Health Center,,,,,,,13,13,13,13,0,,0,376
L9dErUb0avC,Medical Outpatient Department (MOPD) - University College Hospital (UCH),p.ng.APIN.6001,,,,,,,,,,,,,0
RoF7mIJrWT8,Molete Primary Health Center,p.ng.APIN.6009,,,,,,,,,,,,,0
W8mW9cAJeAl,Molete Primary Health Center,p.ng.AHNi.6037,,,,,,,,,,,,,0
QqqVjzHrEys,Monatan Primary Health Center,p.ng.APIN.6071,,,,,,118,118,118,118,0,,1,1750
mfJpRKicT5l,Moniya General Hospital,p.ng.APIN.5963,,,,,,,,,,,,,0
o9UJUeIeW6P,Moniya Primary Health Center,p.ng.APIN.5957,,,,,,496,496,496,496,4,,1,1635
DM1sdT48iFw,Muslim Hospital - Saki,p.ng.APIN.6131,,,,,,,,,,,,,0
fYmoCLvfEcv,Oba Adeyemi Primary Health Center,p.ng.APIN.6113,,,,,,271,271,271,271,0,,0,2044
FOYn0ByRPa9,Ode-Oba Primary Health Center,p.ng.AHNi.6043,,,,,,114,114,114,114,3,,3,114
BQvikCG40GE,Odinjo Primary Health Center,p.ng.APIN.6008,,,,,,142,142,142,142,1,,0,984
xL5ke1zdYRS,Odo Ona Elewe Primary Health Center,p.ng.APIN.6093,,,,,,,,,,,,,0
oOLAYH0WZI8,Odo-Oba Primary Health Center,p.ng.AHNi.6088,,,,,,22,22,22,22,1,,1,22
WWsRxxlA1kT,Ofiki Primary Health Center,p.ng.AHNi.5968,,,,,,33,33,33,33,0,,0,33
fjiKMWnNBwn,Ogbomosho State Hospital,p.ng.APIN.6082,,2756,2668,88,58,235,235,235,235,18,,39,1007
dhw13NZ1dXs,Ogboro Primary Health Center,p.ng.AHNi.6119,,,,,,38,38,38,38,0,,1,38
ifMaYyV2Wlq,Ogidigbo Primary Health Center,p.ng.APIN.6124,,,,,,,,,,,,,0
ZpK48TCuLAi,Ojaigbo (Ibrahim Taiwo) Primary Health Center,p.ng.APIN.6081,,,,,,190,190,190,190,2,,0,329
sH7hx1wlgBV,Oje Owode Primary Health Center,p.ng.AHNi.6120,,,,,,36,36,36,36,0,,1,36
fLGtJdQIfx4,Ojoo Primary Health Center,p.ng.APIN.5958,,,,,,,,,,,,,0
BgpAddTfc3B,Okaka Primary Health Center,p.ng.APIN.6051,,,,,,,,,,,,,0
XkfVGRUfAI7,Oke Odo Primary Health Center,p.ng.APIN.6022,,,,,,,,,,,,,0
yRbGgqKGLol,Oke Olola Primary Health Center,p.ng.APIN.5965,,,,,,,,,,,,,0
L4k886KgQ6e,Oke-Amu Primary Health Center,p.ng.APIN.6052,,,,,,,,,,,,,0
LrNzknCR8PI,Oke-Apo Primary Health Center,p.ng.APIN.6114,,,,,,,,,,,,,0
MQwr2AsLA6C,Oke-Mole Olunloyo Primary Health Center,p.ng.APIN.6099,,,,,,,,,,,,,0
J8C7K7Pmb4Z,Oke-Ola Igangan Primary Health Center,p.ng.APIN.6030,,,,,,,,,,,,,0
UvLPMR8H7Jz,Okeadu Primary Health Center,p.ng.APIN.5990,,,,,,,,,,,,,0
L0SpXvHcxlr,Okeho General Hospital,p.ng.AHNi.6064,,,,,19,75,75,75,75,3,,2,75
f91G0i0RdAV,Okelerin Primary Health Center,p.ng.APIN.6076,,,,,,,,,,,,,0
gW93m4ycgxG,Oko Primary Health Center,p.ng.APIN.6134,,,,,,,,,,,,,0
PjZIRRyhAXJ,Ologbon Primary Health Center,p.ng.AHNi.6091,,,,,,,,,,,,,0
qEFFrFCeCer,Olorombo Akeke Elewiodo Primary Health Center,p.ng.APIN.5989,,,,,,,,,,,,,0
CHOLZ7N4Nbp,Olorunsogo Model Primary Health Center,p.ng.AHNi.6039,,,,,,89,89,89,89,0,,0,89
UAkweLRXgy5,Oloya Primary Health Center,p.ng.APIN.5973,,,,,,,,,,,,,0
KkGxjEL6xe4,Omi Adio Primary Health Center,p.ng.APIN.6036,,,,,,,,,,,,,0
o5cfjiByFf7,Oni Memorial Hospital,p.ng.APIN.6016,,,,,,,,,,,,,0
D5KBMs5woXi,Oniyanrin Primary Health Center,p.ng.APIN.5996,,,,,,281,281,281,281,1,,0,2536
ljnFSN5dej3,Oranyan Primary Health Center,p.ng.APIN.6003,,,,,,243,243,243,243,0,,0,1740
IrTbrdlJqYb,Oremeji Primary Health Center,p.ng.APIN.5987,,,,,,,,,,,,,0
SEiQ0JeZ4ZN,Ori Eru Primary Health Center,p.ng.APIN.5995,,,,,,205,205,205,205,0,,0,1417
xiUXp2eaDNp,Orile-Odo General Hospital,p.ng.APIN.6097,,,,,,,,,,,,,0
lTEWZfKTz3X,Otu Comprehensive Health Center,p.ng.APIN.6055,,,,,,145,145,145,145,6,,0,2647
Inr4R6Tk5fE,Our Lady's Catholic Hospital - Iseyin,p.ng.CCFN.6048,,,,,,,,,,,,,0
oVnNUaUGWsQ,Owode Primary Health Center,p.ng.AHNi.6090,,,,,,,,,,,,,0
CVnx5Avay4e,Owode Primary Health Center,p.ng.AHNi.6109,,,,,,,,,,,,,0
mb1m5LoG7GK,Police Medical Service,p.ng.APIN.5997,,,,,,,,,,,,,0
PnZ7dVv2a4F,Rays of Hope Community Foundation (Ibadan North-East),,,,,,,,,,,,,,0
TlOtwngq42t,Rays of Hope Community Foundation (Lagelu),,,,,,,,,,,,,,0
b6FNFJ4EXAG,Rays of Hope Community Foundation (Oluyole),,,,,,,,,,,,,,0
JUSQqT4yinL,Rays of Hope Community Foundation (Ona Ara),,,,,,,,,,,,,,0
oCR09FpTFh9,Ring Road State Hospital,p.ng.APIN.6015,,,,,,405,405,405,405,0,,0,1299
kxm2lspt4bE,Sabo Primary Health Center,p.ng.APIN.5985,,,,,,,,,,,,,0
Nn7Ozppe6ou,Saki Ajegunle Primary Health Center,p.ng.APIN.6123,,,,,,,,,,,,,0
Bj87orelf78,Sango Primary Health Center,p.ng.APIN.6127,,,,,,,,,,,,,0
ccB3MK5dRaz,Sango Primary Health Center,p.ng.APIN.5981,,,,,,,,,,,,,0
eztfGA16tWt,SDP Secretariat Primary Health Center - Ibadan,p.ng.APIN.5977,,,,,,,,,,,,,0
M0CjX9T0JnP,Semimbio Primary Health Center,p.ng.APIN.6106,,,,,,,,,,,,,0
BB5N6vmn2uD,Sepeteri Primary Health Center,p.ng.AHNi.6121,,,,,,,,,,,,,0
zLSVIa6jptU,Shasha Primary Health Center,p.ng.APIN.5962,,,,,,,,,,,,,0
ZQYdcyj8Urc,St. Anne's Anglican Hospital - Molete Ibadan,p.ng.CCFN.6019,,,,,,,,,,,,,0
JzYcMwOP9J6,St. Dominics Catholic Hospital - Ogungbade,p.ng.CCFN.5976,,,,,0,56,56,56,56,,,0,291
jyHRtpRCr7M,St. Mary's Catholic Hospital - Eleta,p.ng.APIN.5986,,2179,2046,133,50,378,376,376,376,16,,2,1464
L8ySVydOOzd,St. Peters General Hospital - Aremo,p.ng.APIN.5991,,,,,,,,,,,,,0
bdNN3ce2Mj0,Tapa Primary Health Center,p.ng.APIN.6029,,,,,,,,,,,,,0
OOowFG95Ci7,Taraa Primary Health Center,p.ng.APIN.6080,,,,,,,,,,,,,0
g7duV6lW7oO,Tede Comprehensive Health Center,p.ng.AHNi.5967,,,,,,32,32,32,32,0,,0,32
CDiho2YnFlh,Tede General Hospital,p.ng.AHNi.5972,,,,,,37,37,37,37,0,,0,37
lc8j9KmgR45,Temidire Primary Health Center,p.ng.APIN.6028,,,,,,,,,,,,,0
QdL8RSYxeLg,University College Hospital,p.ng.APIN.5978,,18259,17694,565,180,491,491,491,491,54,,133,5824
W38U3hQc80T,University College Hospital - Medical Outpatients Department (MOPD),,,,,,,,,,,,,,0
wKv8VEc9xVx,Yidi Agunpopo Primary Health Center,p.ng.APIN.5966,,,,,,,,,,,,,0
bxt82wAclVP,3 Division Hospital Jos,p.ng.pepfar.6459,,,,,,,,,,,,,0
I67QYigksRv,347 Nigerian Airforce Hospital Jos,p.ng.pepfar.6458,,,,,,,,,,,,,0
F79uDq8JQzY,Abnira Primary Health Center,p.ng.APIN.6236,,,,,,,,,,,,,0
n8nmXEs0gdx,Abwor/Dyis Primary Health Center,p.ng.APIN.6366,,,,,,,,,,,,,0
VB8YqZvqe8s,African Health Project,,,,,,,,,,,,,,0
